"","Progressive.passes.per.90","Deep.completed.crosses.acc...","Deep.completed.crosses.per.90","Deep.completed.passes.acc...","Deep.completed.passes.per.90","Thru.passes.acc...","Thru.passes.per.90","Passes.to.penalty.area.acc...","Passes.to.penalty.area.per.90","Final.3rd.passes.acc...","Final.3rd.passes.per.90","Key.passes.per.90","Smt.passes.acc...","Smt.passes.per.90","Third.assists.per.90","Second.assists.per.90","Avg.lng.pass.length..m","Avg.pass.length..m","Lng.passes.acc...","Lng.passes.per.90","Lat.passes.acc...","Lat.passes.per.90","Back.passes.acc...","Back.passes.per.90","Fwd.passes.acc...","Fwd.passes.per.90","Passes.acc...","Passes.per.90","Red.cards.per.90","Red.cards","Yellow.cards.per.90","Yellow.cards","Fouls.per.90","Interceptions.per.opp.30","Interceptions.per.90","Shots.blocked.per.90","Tackles.per.opp.30","Tackle.succ...","Tackles.per.90","Aerial.duels.won..","Aerial.duels.per.90","Def.duels.won..","Def.duels.per.90","Succ..def..per.90","Progressive.runs.per.90","Touches.in.box.per.90","Dribbles.succ...","Dribbles.per.90","Crosses...","Crosses.per.90","xA.per.90","xA","Assists.per.90","Assists","Goal.conv....","Shots.on.target..","Shots.per.90","Shots.total","Head.goals.per.90","Head.goals.total","xG.per.90","Non.penalty.goals.per.90","Non.penalty.goals","Goals.per.90","Goals.total.1","Succ..att..actions","xG","total_passes_closeness","total_passes_betw","total_passes_pagerank","total_passes_transitivity","forward_passes_closeness","forward_passes_betw","forward_passes_pagerank","forward_passes_transitivity","back_passes_closeness","back_passes_betw","back_passes_pagerank","back_passes_transitivity","long_passes_closeness","long_passes_betw","long_passes_pagerank","long_passes_transitivity","final_3rd_passes_closeness","final_3rd_passes_betw","final_3rd_passes_pagerank","final_3rd_passes_transitivity","progressive_passes_closeness","progressive_passes_betw","progressive_passes_pagerank","progressive_passes_transitivity","Cluster"
"O. Aleynik",0.5,0.9,0.2,0.9,0.3,0.5,0.3,0.6,0.3,0.7,0.5,0.1,0.4,0.2,0,0,0.6,0.4,0.6,0.4,0.9,0.3,0.9,0.6,0.7,0.4,0.9,0.5,0,0,0.1,0.4,0.2,0.4,0.4,0.1,0.6,0.2,0.5,0.5,0.1,0.6,0.6,0.7,0.2,0.1,0.6,0.1,0.6,0.1,0.4,0.4,0.2,0.3,0.1,0.3,0.4,0.3,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.1,1,0.6,1,0.2,0.8,0.4,0.5,0.2,1,0.2,0.4,0.1,0.6,0.3,0.8,0.4,0.7,0.3,0.5,0.2,0.9,0.8,0.6,0.1,16
"O. Dmitriev",0.3,0.9,0.4,1,0.2,0.3,0.2,0.4,0.4,0.7,0.3,0.2,0.5,0.2,0,0,0.5,0.3,0.5,0.2,0.8,0.1,0.9,0.5,0.6,0.3,0.8,0.3,0,0,0,0,0.2,0.2,0.3,0,0.1,0.5,0.1,0.4,0.3,0.5,0.6,0.4,0.3,0.3,0.6,0.2,0.3,0.4,0.4,0.6,0.1,0.1,0.1,0.3,0.5,0.5,0,0,0.2,0.1,0.2,0.1,0.2,0.4,0.2,0.9,0.3,0.9,0.1,0.9,0.2,0.4,0.2,0.9,0.5,0.8,0.6,0.9,0.6,0.4,0.5,0.8,0.2,0.5,0.3,1,0.7,0.6,0,14
"O. Kalugin",0.5,1,0.2,0.8,0.4,0.3,0.1,0.5,0.3,0.8,0.5,0.3,0,0.1,0,0.2,0.7,0.4,0.5,0.5,0.8,0.3,0.9,0.5,0.7,0.6,0.8,0.5,0,0,0.1,0.4,0.4,0.3,0.4,0,0.1,0.3,0.1,0.4,0.2,0.6,0.5,0.5,0.2,0,0.5,0.1,0.5,0.1,0.3,0.2,0.3,0.3,0,0.3,0.1,0,0,0,0,0,0,0,0,0.2,0,0.7,0.2,0.8,0.5,0.6,0.2,0.3,0.4,0.8,0.5,0.4,0.2,0.4,0.4,0.3,0.5,0.6,0.3,0.7,0.7,0.7,0.1,0.5,0.3,16
"O. Kozhemyakin",0.5,0,0,0.7,0.2,0.4,0.1,0.6,0.1,0.7,0.4,0,0.5,0,0.1,0,0.6,0.3,0.7,0.3,0.9,0.2,0.9,0.5,0.7,0.5,0.9,0.5,0,0,0.1,0.4,0.3,0.3,0.4,0.2,0.1,0.4,0.1,0.6,0.1,0.5,0.4,0.5,0.2,0.1,0.5,0,0,0,0,0,0,0,0.1,0.4,0.1,0.1,0.1,0.2,0,0.1,0.1,0,0.1,0,0,0.8,0.3,0.8,0.2,0.9,0.2,0.5,0.5,0.9,0.2,0.1,0.4,0.9,0.1,0.5,0.5,0.9,0.2,0.9,0.5,0.7,0.2,1,0.7,19
"O. Krasilnichenko",0.7,0.9,0.3,0.5,0.2,0.1,0.2,0.3,0.4,0.5,0.6,0.1,0.7,0.1,0,0,0.1,0.4,0.5,0.1,0.6,0.1,0.9,0.5,0.7,0.3,0.8,0.3,0,0,0,0,0.1,0.2,0.2,0,0.9,0.2,0.7,0,0.1,0.8,0.4,0.5,0.4,0,0.5,0.2,0.4,0.3,0.1,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0.2,0,0.8,0.2,0.9,0.2,0.7,0.2,0.5,0.5,0.8,0.3,0.4,0.4,0.9,0.4,1,0.6,0.7,0.1,0.3,0.4,0.6,0.1,0.6,0.4,18
"O. Lanin",0.4,0.8,0.1,1,0.1,0.2,0.1,0.5,0.2,0.8,0.4,0,1,0,0,0,0.5,0.3,0.5,0.2,0.9,0.3,1,0.6,0.8,0.4,1,0.5,0,0,0.2,0.8,0.4,0.3,0.3,0.1,0.1,0,0.1,0.5,0.2,0.6,0.6,0.5,0.3,0,0.5,0.1,0.4,0.1,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.1,0,0.9,0.6,1,0.1,1,0.5,0.5,0.2,1,1,0.6,0.3,0.7,0.1,0.3,0.5,0.9,0.8,1,0.3,0.7,0.5,1,0.3,6
"O. Nikolaev",0.6,0.8,0.5,0.8,0.5,0,0.2,0.8,0.5,0.8,0.3,0.2,0,0.1,0,0,0.3,0.3,0.4,0.4,0.9,0.2,1,0.6,0.6,0.4,0.8,0.4,0,0,0.2,0.2,0.3,0.4,0.4,0,0.5,0.5,0.4,0.5,0.3,0.5,0.7,0.6,0.3,0.3,0.6,0.2,0.7,0.2,0.3,0.1,0,0,0,0.5,0.1,0,0,0,0.2,0,0,0,0,0.2,0.1,0.8,0.1,0.7,0.3,0.8,0.2,0.2,0.3,0.5,0.1,0.5,0.2,0.5,0.1,0.2,0.5,0.6,0,0.1,0.3,0.7,0.1,0.2,0.3,10
"O. Polyakov",0.2,1,0.2,0.9,0.3,0.1,0.1,0.5,0.2,0.6,0.2,0.3,0.3,0.2,0,0,0.6,0.4,0.6,0.4,0.9,0.2,0.9,0.3,0.7,0.4,0.9,0.4,0.2,0.5,0,0,0.1,0.3,0.5,0.2,0.1,0.8,0.1,0.6,0.1,0.7,0.4,0.6,0.2,0.4,0.5,0.3,0.4,0.2,0.2,0.2,0.1,0.1,0,0.4,0.2,0.2,0,0,0.1,0,0,0,0,0.3,0.2,0.9,0.2,1,0,1,0.9,0.3,0.5,0.9,0.3,0.9,0.7,1,1,0.5,0.2,1,0.8,0.4,0.4,0.9,0.4,0.3,0.5,15
"O. Shalaev",0.4,1,0.1,0.9,0.3,0.4,0.2,0.6,0.2,0.8,0.5,0.2,0.2,0.1,0,0,0.2,0.2,0.4,0,0.6,0,0.8,0.3,0.5,0.1,0.7,0.1,0,0,0,0.1,0.2,0.2,0.2,0.1,0.1,0,0.1,0.4,0.9,0.4,0.1,0.2,0.4,0.1,0.6,0.1,0.4,0.1,0.1,0.2,0,0,0.1,0.3,0.2,0.2,0,0,0,0.1,0.1,0.1,0.1,0.2,0.1,0.8,0.4,0.8,0.2,0.8,0.4,0.8,0.1,0.9,1,0.6,0,1,0.4,0.4,0.5,0.7,0.6,1,0.6,0.6,0.2,0.6,0.2,18
"P. Dolgov",0.1,1,0.1,1,0.5,1,0.1,0.9,0.1,0.4,0.1,0.2,1,0,0,0,0.5,0.3,0.4,0.2,0.9,0.3,0.9,0.7,0.8,0.6,0.9,0.6,0,0,0.1,0.1,0.1,0.4,0.4,0.2,0.2,0,0.2,0.4,0.2,0.7,0.5,0.6,0.1,0.8,0.4,0.1,0.3,0.1,0.2,0.1,0,0,0,0.3,0.7,0.3,0,0,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0.9,0.3,0.7,0.2,0.7,0.1,0.2,0.3,0.4,0,0.5,0.5,0.8,0.1,0,0.5,0.8,0,0.1,0.2,0.7,0.4,0.1,0.3,8
"P. Golyshev",0.3,1,0.1,0.9,0.8,0.3,0.2,0.5,0.4,0.8,0.4,0.3,0.3,0.3,0.2,0,0.4,0.3,0.3,0.1,0.7,0.1,0.9,0.4,0.5,0.2,0.7,0.3,0,0,0.2,0.7,0.6,0.2,0.2,0.1,0.2,0.1,0.1,0.3,0.2,0.5,0.3,0.3,0.2,0.3,0.5,0.3,0.2,0.1,0.4,0.4,0.4,0.4,0,0.3,0.5,0.3,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.9,0.1,0.7,0.1,0.9,0.2,0.4,0.6,0.9,0.1,0.5,0.8,0.9,0.3,0.4,0.5,0.9,0.4,0.5,0.4,0.9,0.4,0.5,0.5,10
"P. Ignatovich",0.2,0.9,0.3,0.9,0.3,0.4,0.2,0.4,0.4,0.5,0.1,0.3,0.4,0.2,0,0.2,0.4,0.2,0.5,0.2,0.7,0.1,0.9,0.4,0.7,0.3,0.8,0.3,0,0,0.2,0.2,0.5,0.2,0.2,0,0.6,0.2,0.5,0.4,0.2,0.6,0.5,0.5,0.2,0.6,0.5,0.5,0.3,0.5,0.3,0.5,0.1,0.1,0.1,0.2,0.4,0.5,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.4,1,0.3,0.8,0,1,0.7,0.5,0.4,0.9,0.5,1,0.7,1,0.3,0.3,0.5,1,0.4,0.4,0.3,0.9,0.7,0.6,0.4,14
"P. Kireenko",0.2,0.9,0.3,1,0.2,0.2,0.1,0.3,0.3,0.6,0.1,0.4,0.3,0.1,0,0,0.7,0.5,0.6,0.7,0.9,0.3,1,0.1,0.7,0.6,0.9,0.5,0,0,0,0.1,0.1,0.3,0.4,0.2,0.2,0.4,0.1,0.7,0.3,0.7,0.5,0.6,0.4,0.4,0.6,0.6,0.3,0.4,0.3,0.3,0.1,0.1,0.2,0.4,0.5,0.3,0,0,0.2,0.4,0.3,0.4,0.3,0.6,0.1,0.3,0,0.6,0.2,0.4,0,0.3,0.2,0.4,0,0.4,0.4,0.9,0.1,0.2,0.7,0.5,0.1,0.2,0.6,0.5,0.1,0.2,0.3,9
"P. Komolov",0.5,0.6,0.2,0.8,0.3,0.2,0.2,0.4,0.4,0.7,0.7,0.2,0.5,0.2,0,0,0.5,0.3,0.6,0.2,0.8,0.2,0.9,0.4,0.7,0.3,0.9,0.4,0,0,0.1,0.3,0.4,0.2,0.3,0.1,0.2,0.5,0.2,0.3,0.2,0.6,0.5,0.4,0.7,0.2,0.6,0.3,0.4,0.1,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,1,0.5,0.9,0.1,1,1,0.6,0.6,1,0.7,0.6,0.6,1,0.8,0.6,0.4,1,1,0.7,0.4,1,1,0.8,0.5,6
"P. Maslov",0.4,1,0.1,0.5,0.1,0.1,0.1,0.6,0.1,0.8,0.2,0.1,0.3,0.1,0,0,0.6,0.3,0.7,0.1,0.8,0.2,0.9,0.6,0.8,0.3,0.9,0.4,0,0,0.1,0.1,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.5,0.1,0.6,0.4,0.4,0.2,0.1,0.7,0.2,0.5,0.1,0.1,0.1,0,0,0.2,0.2,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.2,0.1,0.9,0.9,1,0,0.8,1,0.5,0.4,1,0.6,0.4,0.3,1,1,1,0.3,0.9,0.4,0.9,0.3,0.9,0.6,0.7,0.4,6
"P. Rozhkov",0.6,0,0,1,0,0.2,0.2,0.2,0,0.8,0.4,0,0.4,0.1,0,0,0.7,0.4,0.6,0.5,0.9,0.2,0.9,0.5,0.7,0.5,0.9,0.5,0,0,0.1,0.4,0.2,0.3,0.3,0.1,0.1,0.8,0.1,0.5,0.1,0.6,0.5,0.4,0.4,0.1,0.8,0.1,0,0,0,0,0,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0.1,0,0.8,0.3,0.9,0.2,0.9,0.2,0.6,0.4,0.8,0.5,0.5,0.3,0.8,0.3,0.5,0.4,0.8,0.1,0.6,0.3,0.8,0.3,1,0.3,19
"P. Shadrin",0.3,0.9,0.2,0.9,0.5,0.1,0.2,0.5,0.4,0.7,0.2,0.2,0.2,0.2,0,0,0.9,0.9,0.8,0.3,1,0,0,0,0.8,0.2,0.9,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0,1,0,0,0,0.1,0.3,0.4,0.4,0.2,0.4,0.2,0.3,0.4,0,0,0,0.4,0.4,0.3,0,0,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.8,0.6,0.7,0.2,0.8,0.4,0.3,0.1,0.9,0.4,1,0.6,0.7,0.1,0.2,0.2,0.8,0.6,1,0.3,0.7,0.2,0.5,0.1,11
"P. Stepanets",0.5,0,0,1,0,0.8,0.1,0,0,0.7,0.3,0,0,0,0,0.1,0.3,0.3,0.4,0.1,0.7,0.1,0.8,0.4,0.5,0.2,0.7,0.3,0,0,0,0.2,0.5,0.2,0.2,0.1,0,0,0,0.4,0.5,0.6,0.2,0.2,0,0.1,1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0,0.1,0,0,0,0,0,0.1,0.9,0.4,1,0.3,0.6,0,0.3,0.8,0.9,0.2,0.2,0.3,1,1,1,0.8,0.9,0,0.2,0.9,0.8,0.1,0.6,0.9,19
"P. Ten",0.5,1,0.1,0.8,0.1,0,0.1,0.4,0.2,0.7,0.4,0.1,0,0.1,0,0.1,0.6,0.3,0.5,0.3,0.9,0.1,0.9,0.4,0.7,0.4,0.8,0.4,0,0,0.1,0.3,0.2,0.2,0.2,0,0.1,0.6,0.1,0.6,0.2,0.6,0.5,0.4,0.2,0.1,0.6,0.1,0.4,0.2,0.1,0.2,0,0,0,0.3,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.9,0.1,0.9,0.1,0.8,0.5,0.3,0.6,1,0.5,0.8,0.5,0.8,0.9,1,0,0.9,0.4,0.6,0.5,0.7,0.2,0.5,0.6,16
"P. Volodkin",0.4,1,0.1,0.7,0.3,0.4,0.5,0.4,0.3,0.6,0.5,0,0.4,0.3,0.3,0,0.6,0.3,0.6,0.3,1,0.4,1,0.5,0.8,0.7,1,0.8,0,0,0.1,0.2,0.3,0.5,0.5,0.1,0.1,0,0.1,0.4,0.1,0.6,0.6,0.6,0.2,0.1,0.9,0.1,0.3,0.1,0.1,0.1,0,0,0.1,0.4,0.3,0.1,0,0,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.5,0.1,0.7,0.2,0.6,0.1,0.1,0.6,0.9,0.1,0.4,0.4,0.9,0,0.2,0.5,0.9,0.1,0.7,0.5,0.9,0,0.1,0.7,9
"P. Yakovlev",0.4,0.9,0.2,0.9,0.4,0.4,0.1,0.5,0.5,0.7,0.4,0.2,0.7,0.3,0,0,0.4,0.3,0.6,0.2,0.6,0.1,1,0.4,0.6,0.4,0.8,0.3,0,0,0.2,0.6,0.4,0.3,0.4,0.1,0.3,0.3,0.4,0.5,0.1,0.5,0.6,0.6,0.2,0.4,0.6,0.3,0.4,0.3,0.1,0.1,0,0,0,0.3,0.8,0.4,0,0,0.2,0,0,0,0,0.4,0.1,0.8,0.2,0.8,0.1,0.8,0.2,0.3,0.1,0.7,0.1,0.4,0.7,0.9,0.7,0.3,0.5,0.7,0.1,0.3,0.4,0.9,0.3,0.5,0.1,10
"Patrick",0.1,0,0,1,0.5,0,0,0.5,0.2,0.5,0.2,0,0,0,0,0,0.9,0.9,0.7,0.4,0.9,0,0,0,0.8,0.2,0.9,0.1,0,0,0.1,0.2,0,0.1,0.1,0,0,0,0,0.8,0,0,0,0.1,0.3,0.3,0.5,0.6,0,0.1,0.4,0.1,1,0.1,0,0,0.5,0,0,0,0.1,0,0,0,0,0.5,0,0.5,0.1,0.3,0.3,0.5,0,0.1,0.7,0.1,0,0.1,0.6,0.3,0,0,0.6,0.4,0.1,0.1,0.4,0.5,0.1,0.2,0.5,13
"R. Abdullin",0.1,1,0.2,1,0.2,0,0.1,0.5,0.2,0.2,0.3,0.8,0,0.2,0,0,0.4,0.3,0.5,0.2,0.6,0.1,0.9,0.2,0.7,0.2,0.7,0.2,0,0,0.3,0.2,0.2,0.3,0.4,0.1,0.1,0,0.1,0.4,0.2,0.6,0.6,0.4,0.3,0.2,0,0.1,0.3,0.2,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.1,1,0.1,0,0,1,0,0,0,1,0.4,0,0,1,0.1,0,0.1,1,5
"R. Bugaev",0.6,1,0.2,0.8,0.2,0.4,0.1,0.4,0.4,0.7,0.5,0.1,0.7,0.1,0.1,0,0.5,0.3,0.5,0.1,0.7,0.1,0.8,0.5,0.5,0.1,0.7,0.2,0,0,0,0.1,0.2,0.1,0.2,0.1,0,1,0,0.3,0.2,0.5,0.2,0.2,0.3,0.1,0.7,0.1,0.3,0.3,0.1,0.1,0,0,0.1,0.2,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.2,0,0.9,0.4,0.9,0.1,0.9,0.4,0.5,0.2,0.8,0.4,0.5,0.3,1,1,1,0.4,0.9,0.5,0.3,0.2,0.8,0.4,0.5,0.3,15
"R. Ezhov",0.3,1,0.4,0.9,0.7,0.3,0.2,0.5,0.7,0.5,0.2,0.3,0.5,0.2,0,0,0.3,0.3,0.7,0.1,0.9,0.2,0.9,0.5,0.8,0.3,0.9,0.4,0,0,0.2,0.3,0.4,0.3,0.3,0,0.3,0,0.2,0.5,0.1,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.3,0.5,0.4,0.6,0.1,0.1,0,0.3,0.2,0.2,0,0,0.1,0,0,0,0,0.5,0.1,0.7,0.2,0.8,0.3,0.7,0.3,0.4,0,0.9,0.9,1,0.4,0.8,1,0.4,0.3,0.9,1,0.7,0.5,0.9,0.7,0.6,0.4,15
"R. Gadzhimuradov",0.3,1,0.4,0.8,0.3,0.2,0.1,0.4,0.7,0.7,0.1,0.2,0.4,0.1,0,0.2,0.6,0.4,0.5,0.5,0.8,0.1,0.9,0.4,0.6,0.3,0.8,0.3,0.1,0.5,0.1,0.4,0.4,0.3,0.4,0.2,0.1,0.1,0.1,0.6,0.2,0.5,0.6,0.6,0.4,0.3,0.5,0.6,0.3,0.6,0.4,0.6,0.1,0.1,0.1,0.3,0.4,0.4,0,0,0.1,0.3,0.3,0.2,0.3,0.6,0.2,1,1,1,0,0.9,0.5,0.5,0.4,0.9,0.5,1,0.4,0.8,1,1,0.3,0.9,0.6,0.3,0.4,0.9,0.7,0.7,0.4,14
"R. Galiakberov",0,1,0.1,1,0.5,1,0.2,0.5,0.1,0.3,0.1,0,1,0.2,0,0.5,0.1,0.1,0,0,0.7,0,0.8,0.3,0.4,0.1,0.7,0.1,0,0,0,0,0.5,0.1,0.2,0,0.1,0,0.1,0.3,0.5,0.2,0.3,0.2,0.1,0.8,0.5,0.3,0.5,0.1,0,0,0,0,0.1,0.4,0.5,0.1,0,0,0.5,0.3,0.1,0.3,0.1,0.4,0.1,0.9,0.3,0.4,0.2,0.8,0,0,0.5,0.5,0,0.3,0.7,0.6,0,0,0.2,0.6,0,0,0.7,0.7,0,0,0.4,8
"R. Gordienko",0.2,0.7,0.1,0.9,0.3,0.3,0.2,0.5,0.3,0.5,0.2,0.3,0.2,0.1,0,0,0.6,0.3,0.5,0.4,0.8,0.2,0.9,0.4,0.7,0.4,0.8,0.4,0,0,0.1,0.5,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.1,0.6,0.5,0.5,0.1,0.4,0.4,0.4,0.2,0.1,0.1,0.1,0.2,0.3,0.1,0.4,0.6,0.4,0,0,0.2,0.3,0.2,0.2,0.2,0.4,0.2,1,0.4,0.8,0.1,1,1,0.5,0.3,0.7,0.2,1,0.6,1,0.9,0.3,0.6,1,1,0.4,0.3,1,1,0.7,0.3,14
"R. Khalnazarov",0.2,0.8,0.3,1,0.2,0,0.1,0.4,0.3,0.7,0.1,0.3,0,0.1,0,0,0.6,0.3,0.6,0.2,0.9,0.2,1,0.5,0.8,0.4,0.9,0.4,0.2,0.5,0.2,0.6,0.5,0.3,0.4,0.1,0.8,0.3,0.7,0.6,0.3,0.5,0.6,0.7,0.5,0.3,0.6,0.6,0.3,0.4,0.2,0.1,0.2,0.1,0,0.3,0.2,0.1,0,0,0.2,0,0,0,0,0.5,0.1,0.7,0.3,0.8,0,0.5,0.4,0.5,0,0.9,0.4,0.7,0.4,0.9,0,0.1,0.4,1,0.2,0.1,0.5,0.7,0.4,0.3,0.2,10
"R. Khayrullov",0.5,0,0,0.5,0.2,0.4,0.1,0.2,0.1,0.6,0.3,0.1,0,0,0.1,0,0.6,0.4,0.5,0.5,1,0.2,1,0.2,0.7,0.5,0.9,0.4,0.1,0.5,0,0.2,0.3,0.4,0.4,0.4,0.1,0.2,0.1,0.7,0.3,0.7,0.4,0.6,0.2,0.1,1,0,0,0,0,0,0,0,0.2,0.3,0.1,0.1,0.2,0.5,0.1,0.1,0.2,0.1,0.2,0,0.1,0.9,0.2,1,0.1,0.9,0.1,0.4,0.8,0.9,0.9,0.5,0.7,0.9,0.5,0.8,0.3,0.7,0.1,0.5,0.8,0.9,0.8,1,0.7,19
"R. Kisil",0.3,1,0.3,1,0.3,0,0,0.5,0.4,0.8,0.3,0,0,0,0,0,0.5,0.3,0.5,0.2,0.7,0.1,0.9,0.5,0.6,0.3,0.7,0.3,0,0,0.1,0.7,0.4,0.3,0.3,0,0.3,0.1,0.3,0.3,0.1,0.5,0.4,0.4,0.2,0.4,0.3,0.4,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0.1,0,0.5,0.3,0,0,0.2,0,0,0.1,1,0.3,0,0,0.5,0.2,0,0.1,0.3,0.3,0.1,0.1,0.2,5
"R. Koryan",0.2,1,0.2,1,0.4,0.2,0.2,0.5,0.6,0.6,0.2,0.3,0,0.1,0,0,0.6,0.3,0.7,0.3,0.7,0.1,0.9,0.3,0.7,0.3,0.8,0.3,0,0,0,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.3,0.2,0.6,0.4,0.3,0.2,0.3,0.7,0.3,0.3,0.3,0.3,0.2,0,0,0.1,0.3,0.9,0.3,0,0,0.4,0.2,0.1,0.3,0.2,0.4,0.2,0.8,0.1,0.6,0.3,0.8,0.1,0.3,0.2,0.4,0.1,0.7,0.8,0.7,0.3,0,0.6,0.7,0.2,0.3,0.3,0.8,0.3,0.4,0,10
"R. Kosyanchuk",0.4,1,0,1,0.3,0.2,0.2,0.5,0.2,0.7,0.4,0.3,0.2,0.1,0,0.1,0.7,0.4,0.5,0.6,0.8,0.2,0.9,0.4,0.6,0.6,0.8,0.5,0,0,0.1,0.4,0.5,0.3,0.4,0,0.1,0,0.1,0.6,0.1,0.6,0.8,0.6,0.3,0.1,0.6,0.3,0.2,0.2,0.1,0.1,0,0,0,0.2,0.2,0.1,0,0,0.1,0,0,0,0,0.2,0.1,0.8,0.2,0.9,0.3,0.8,0.3,0.6,0.3,0.9,0.6,0.4,0.5,0.8,0.6,1,0.5,0.8,0.5,0.7,0.4,0.9,0.2,0.4,0.2,16
"R. Litvinov",0.4,0,0,1,0.8,0.3,0.7,0.6,0.6,0.5,0.4,0,0.5,0.5,0,0,0.3,0.3,0.6,0.5,0.8,0.2,1,0.3,0.8,0.6,0.9,0.5,0,0,0.3,0.1,0.3,0.8,1,0.5,0,0,0,0.3,0.2,0.5,0.8,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0.3,0,0.5,0.4,0.3,0,0.1,1,0.8,0,0,0.6,0.9,0,0.1,0.7,0.8,0,0.1,0.9,0.8,0,0.1,1,9
"R. Magal",0.4,0.9,0.7,0.9,0.2,0.7,0,0.4,0.8,0.8,0.2,0.5,0.6,0.1,0,0.5,0.5,0.3,0.6,0.1,0.6,0.1,0.9,0.9,0.7,0.3,0.8,0.4,0,0,0.1,0.3,0.3,0.2,0.3,0.1,0.1,0.2,0.1,0.3,0.1,0.6,0.5,0.4,0.6,0.4,0.5,0.4,0.3,0.8,0.5,0.8,0.1,0.3,0,0.2,0.3,0.3,0,0,0.1,0,0,0,0,0.5,0.1,0.8,0.5,0.8,0.1,0.7,0.5,0.3,0.2,1,0.7,0.9,0.2,0.8,0.3,0.4,0,0.9,0.4,0.5,0.4,0.9,0.2,0.5,0.2,15
"R. Manuylov",0.5,1,0.6,0.7,0.1,0.7,0.1,0.5,0.5,0.6,0.3,0.3,0,0,0.1,0.1,0.6,0.4,0.6,0.6,0.9,0.1,0.9,0.1,0.7,0.6,0.8,0.4,0,0,0.2,0.5,0.3,0.4,0.5,0.4,0,0,0,0.7,0.2,0.6,0.6,0.6,0.3,0.2,0.7,0.2,0.5,0.4,0.2,0.3,0,0,0.1,0.2,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.7,0.3,0.8,0.2,0.7,0.2,0.5,0.3,0.6,0.1,0.2,0.2,0.9,0.8,1,0.4,0.7,0.2,0.4,0.5,0.6,0.1,0.3,0.3,16
"R. Minaev",0.1,0.6,0.1,0.8,0.4,0.5,0.2,0.5,0.1,0.6,0.1,0.4,0.6,0.2,0,0,0.2,0.3,0.4,0.1,0.7,0.1,1,0.4,0.6,0.2,0.8,0.3,0,0,0.1,0.2,0.4,0.2,0.2,0,0.2,0.5,0.2,0.3,0.1,0.6,0.5,0.4,0.1,0.6,0.4,0.4,0.2,0.1,0.3,0.4,0.3,0.6,0.1,0.4,0.5,0.6,0.1,0.2,0.4,0.3,0.4,0.3,0.5,0.3,0.7,0.9,0,0.8,0.8,1,0.1,0.4,0.5,0.9,0,0.8,1,1,0.2,0,0.8,1,0.1,0.1,0.6,1,0.1,0.3,0.4,8
"R. Mukhametshin",0.2,1,0.2,0.8,0.2,0.3,0.1,0.4,0.3,0.5,0.2,0.1,0.5,0.1,0,0,0.6,0.4,0.6,0.4,0.9,0.2,0.9,0.3,0.7,0.5,0.9,0.5,0,0,0.1,0.2,0.3,0.4,0.5,0.4,0.2,0.3,0.3,0.6,0.3,0.6,0.4,0.7,0.2,0.1,0.5,0.1,0.4,0.2,0.3,0.2,0.4,0.3,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,0.4,0.8,0.1,0.6,0.3,0.3,0.4,0.7,0.4,0.4,0.1,0.5,0.2,0.3,0.5,0.5,0.3,0.4,0.6,0.6,0.2,0.3,0.4,16
"R. Navletov",0.6,0,0,0.6,0.1,0.3,0.1,0.4,0.1,0.6,0.5,0.1,0.5,0,0,0,0.6,0.4,0.5,0.3,0.9,0.2,1,0.1,0.7,0.3,0.9,0.3,0,0,0.2,0.6,0.2,0.4,0.6,0.6,0.1,0.4,0.2,0.6,0.2,0.6,0.4,0.8,0,0.1,0.5,0.1,0,0,0.1,0.1,0,0,0,0.3,0.1,0.1,0,0,0.1,0,0,0,0,0.1,0.1,0.8,0.4,0.9,0.1,0.8,0.5,0.8,0.4,1,0.6,0.4,0.1,1,0.7,0.8,0.5,0.9,1,1,0.5,0.9,1,0.8,0.2,6
